         1386575 function calls (1369194 primitive calls) in 1.421 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1191    0.015    0.000    0.015    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.015    0.015 _laplacian.py:1(<module>)
      266    0.001    0.000    0.015    0.000 _decorators.py:363(decorator)
    23376    0.009    0.000    0.015    0.000 utils.py:664(_skip_doctest)
       19    0.000    0.000    0.015    0.001 _distn_infrastructure.py:3173(__init__)
        1    0.000    0.000    0.014    0.014 defmatrix.py:1(<module>)
        1    0.000    0.000    0.014    0.014 _build_tlz.py:1(<module>)
        1    0.000    0.000    0.014    0.014 resource_tracker.py:18(<module>)
        1    0.000    0.000    0.014    0.014 dataarray.py:1(<module>)
       28    0.000    0.000    0.014    0.000 dataclasses.py:1012(wrap)
       28    0.001    0.000    0.014    0.000 dataclasses.py:809(_process_class)
      127    0.001    0.000    0.014    0.000 _distn_infrastructure.py:698(_construct_argparser)
     1759    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       20    0.000    0.000    0.013    0.001 _docscrape.py:140(__init__)
     1904    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        1    0.000    0.000    0.013    0.013 loader.py:2(<module>)
        1    0.000    0.000    0.013    0.013 reductions.py:1(<module>)
        1    0.013    0.013    0.013    0.013 spawn.py:11(<module>)
     1126    0.012    0.000    0.012    0.000 {method 'read' of '_io.BufferedReader' objects}
      144    0.000    0.000    0.012    0.000 _decorators.py:484(__call__)
     1430    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:156(__enter__)
  900/148    0.003    0.000    0.012    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.011    0.011 _minimize.py:1(<module>)
        1    0.000    0.000    0.011    0.011 _adapters.py:1(<module>)
     1652    0.002    0.000    0.011    0.000 _lmm.py:459(_delta_update)
        1    0.000    0.000    0.011    0.011 multiarray.py:1(<module>)
    32523    0.010    0.000    0.011    0.000 {built-in method builtins.getattr}
     2269    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
    87186    0.010    0.000    0.011    0.000 {built-in method builtins.isinstance}
      585    0.010    0.000    0.010    0.000 {method 'findall' of 're.Pattern' objects}
        2    0.000    0.000    0.010    0.005 overrides.py:1(<module>)
